                            Variables index correlation     qvalue pvalue
M4.91_760.5827m.z   M4.91_760.5827m.z    92   0.2757638 0.10373684  0.009
M12.88_785.6511m.z M12.88_785.6511m.z  1720   0.2757513 0.09846512  0.008
M10.63_255.1965m.z M10.63_255.1965m.z  5454   0.2756698 0.10373684  0.009
M6.77_321.0853m.z   M6.77_321.0853m.z  2815   0.2756359 0.10875000  0.010
M4.90_770.5693m.z   M4.90_770.5693m.z  1810   0.2754730 0.11926761  0.012
M4.75_846.6364m.z   M4.75_846.6364m.z  2622   0.2753327 0.11341071  0.011
M2.45_203.0813m.z   M2.45_203.0813m.z  6082   0.2751025 0.11341071  0.011
M13.29_378.7900m.z M13.29_378.7900m.z   386   0.2746091 0.11341071  0.011
M13.29_299.2940m.z M13.29_299.2940m.z  1346   0.2741352 0.11341071  0.011
M9.39_315.1480m.z   M9.39_315.1480m.z  2811   0.2740252 0.09846512  0.008
M9.47_183.1389m.z   M9.47_183.1389m.z  1534   0.2739996 0.09359368  0.007
M4.98_818.5917m.z   M4.98_818.5917m.z   356   0.2739901 0.11341071  0.011
M5.53_307.1774n       M5.53_307.1774n  3700   0.2737340 0.11341071  0.011
M6.15_399.0945m.z   M6.15_399.0945m.z  4757   0.2737098 0.10373684  0.009
M4.80_892.6088m.z   M4.80_892.6088m.z   998   0.2734167 0.11926761  0.012
M8.56_423.1196m.z   M8.56_423.1196m.z  2376   0.2733326 0.10875000  0.010
M11.79_238.2295n     M11.79_238.2295n   572   0.2732213 0.12415489  0.013
M5.44_835.5359m.z   M5.44_835.5359m.z  3605   0.2729358 0.10373684  0.009
M6.77_574.2038m.z   M6.77_574.2038m.z  2520   0.2728302 0.09359368  0.007
M0.97_465.3040m.z   M0.97_465.3040m.z  1473   0.2727735 0.12415489  0.013
M11.79_330.2765n     M11.79_330.2765n    47   0.2724706 0.12830303  0.014
M11.96_607.2445m.z M11.96_607.2445m.z   414   0.2724540 0.08543946  0.006
M11.09_227.1288m.z M11.09_227.1288m.z  5543   0.2723641 0.10373684  0.009
M12.36_204.1229m.z M12.36_204.1229m.z  4605   0.2722674 0.11926761  0.012
M11.37_199.1338m.z M11.37_199.1338m.z  5163   0.2721567 0.10373684  0.009
M5.49_784.6449n       M5.49_784.6449n   470   0.2721519 0.12415489  0.013
M4.90_718.5746m.z   M4.90_718.5746m.z  2366   0.2721133 0.09846512  0.008
M10.52_237.1860m.z M10.52_237.1860m.z  5585   0.2720551 0.08543946  0.006
M9.47_265.1419m.z   M9.47_265.1419m.z  2746   0.2716573 0.09846512  0.008
M4.59_742.5376m.z   M4.59_742.5376m.z  2267   0.2716233 0.11926761  0.012
M8.24_150.0559m.z   M8.24_150.0559m.z  5220   0.2712516 0.12830303  0.014
M6.16_244.0408m.z   M6.16_244.0408m.z  4714   0.2712266 0.11926761  0.012
M8.24_341.2558n       M8.24_341.2558n  1835   0.2712126 0.09359368  0.007
M4.47_723.5192n       M4.47_723.5192n   756   0.2709374 0.14674968  0.018
M4.90_771.5773n       M4.90_771.5773n   469   0.2708114 0.12830303  0.014
M11.31_392.2464n     M11.31_392.2464n  1665   0.2706082 0.11926761  0.012
M2.35_499.3775m.z   M2.35_499.3775m.z  5442   0.2705244 0.13286611  0.015
M8.10_433.1427m.z   M8.10_433.1427m.z  4091   0.2703796 0.11341071  0.011
